方案,阶段,种子,轮次,目标,状态,候选数,当前值（整数单位）,求解器界限（整数单位）,本层条件最优,整个前缀已证最优,用时s
及时性优先,局部组批重排,2,66,加权逾期,可行，未证最优,88,23651364,0.0,否,否,4.9979921
及时性优先,局部组批重排,2,66,最后返航,可行，未证最优,88,9357749,7727008.0,否,否,4.9895674
及时性优先,局部组批重排,2,66,能耗,可行，未证最优,88,88953114148,84873513788.0,否,否,4.9877494
及时性优先,局部组批重排,2,66,架次,当前模型已证最优,88,34,34.0,是,否,0.21341520000000003
及时性优先,局部组批重排,0,67,加权逾期,当前模型已证最优,246,0,0.0,是,是,0.35802670000000003
及时性优先,局部组批重排,0,67,最后返航,可行，未证最优,246,7814338,7156503.0,否,否,6.519208600000001
及时性优先,局部组批重排,0,67,能耗,可行，未证最优,246,84631416273,84562561348.0,否,否,6.506345400000001
及时性优先,局部组批重排,0,67,架次,当前模型已证最优,246,31,31.0,是,否,0.3433354
及时性优先,局部组批重排,1,68,加权逾期,当前模型已证最优,58,0,0.0,是,是,0.045220800000000005
及时性优先,局部组批重排,1,68,最后返航,可行，未证最优,58,8115226,7504859.0,否,否,6.649326
及时性优先,局部组批重排,1,68,能耗,当前模型已证最优,58,82894313662,82894313662.0,是,否,1.2773526000000002
及时性优先,局部组批重排,1,68,架次,当前模型已证最优,58,30,30.0,是,否,0.027826100000000003
及时性优先,局部组批重排,2,69,加权逾期,当前模型已证最优,181,0,0.0,是,是,0.20135050000000002
及时性优先,局部组批重排,2,69,最后返航,可行，未证最优,181,8322280,7710928.0,否,否,6.581513200000001
及时性优先,局部组批重排,2,69,能耗,可行，未证最优,181,85344448840,84424240311.0,否,否,6.5695236
及时性优先,局部组批重排,2,69,架次,当前模型已证最优,181,31,31.0,是,否,0.2041087
及时性优先,局部组批重排,0,70,加权逾期,当前模型已证最优,150,0,0.0,是,是,1.9826888
及时性优先,局部组批重排,0,70,最后返航,可行，未证最优,150,9411048,7710928.0,否,否,5.9905632
及时性优先,局部组批重排,0,70,能耗,当前模型已证最优,150,83970974985,83970974985.0,是,否,2.6264991
及时性优先,局部组批重排,0,70,架次,当前模型已证最优,150,31,31.0,是,否,0.1629558
及时性优先,局部组批重排,1,71,加权逾期,当前模型已证最优,87,0,0.0,是,是,2.4555114000000002
及时性优先,局部组批重排,1,71,最后返航,可行，未证最优,87,8337232,7504859.0,否,否,5.841344800000001
及时性优先,局部组批重排,1,71,能耗,可行，未证最优,87,84631416273,84424240311.0,否,否,5.834470100000001
及时性优先,局部组批重排,1,71,架次,当前模型已证最优,87,31,31.0,是,否,0.0411018
及时性优先,局部组批重排,2,72,加权逾期,当前模型已证最优,65,0,0.0,是,是,0.0419754
及时性优先,局部组批重排,2,72,最后返航,可行，未证最优,65,7715162,7504859.0,否,否,6.6499588
及时性优先,局部组批重排,2,72,能耗,当前模型已证最优,65,85864101380,85864101380.0,是,否,0.0657128
及时性优先,局部组批重排,2,72,架次,当前模型已证最优,65,31,31.0,是,否,0.0344252
及时性优先,局部组批重排,0,73,加权逾期,限时未取得新解,135,,0.0,否,否,4.994409
及时性优先,局部组批重排,1,74,加权逾期,当前模型已证最优,239,0,0.0,是,是,0.4010537
及时性优先,局部组批重排,1,74,最后返航,可行，未证最优,239,8844719,7209244.0,否,否,6.5075495000000005
及时性优先,局部组批重排,1,74,能耗,当前模型已证最优,239,83462084215,83462084215.0,是,否,2.7057066
